survenir	to arise [arose|arisen]	Conjugaison	Principaux verbes irréguliers		1
s'éveiller	to awake [awoke|awoken]	Conjugaison	Principaux verbes irréguliers		2
être	to be [was-were|been]	Conjugaison	Principaux verbes irréguliers		3
porter	to bear [bore|borne]	Conjugaison	Principaux verbes irréguliers		4
naître	to bear [bore|be born]	Conjugaison	Principaux verbes irréguliers		5
battre	to beat [beat|beaten]	Conjugaison	Principaux verbes irréguliers		6
devenir	to become [became|become]	Conjugaison	Principaux verbes irréguliers		7
commencer	to begin [began|begun]	Conjugaison	Principaux verbes irréguliers		8
contempler	to behold [beheld|beheld]	Conjugaison	Principaux verbes irréguliers		9
courber	to bend [bent|bent]	Conjugaison	Principaux verbes irréguliers		10
implorer	to beseech [besought|besought]	Conjugaison	Principaux verbes irréguliers		11
assaillir	to beset [beset|beset]	Conjugaison	Principaux verbes irréguliers		12
parier	to bet [bet|bet]	Conjugaison	Principaux verbes irréguliers		13
offrir, ordonner	to bid [bid|bid]	Conjugaison	Principaux verbes irréguliers		14
lier	to bind [bound|bound]	Conjugaison	Principaux verbes irréguliers		15
mordre	to bite [bit|bitten]	Conjugaison	Principaux verbes irréguliers		16
saigner	to bleed [bled|bled]	Conjugaison	Principaux verbes irréguliers		17
souffler	to blow [blew|blown]	Conjugaison	Principaux verbes irréguliers		18
casser	to break [broke|broken]	Conjugaison	Principaux verbes irréguliers		19
apporter	to bring [brought|brought]	Conjugaison	Principaux verbes irréguliers		20
construire	to build [built|built]	Conjugaison	Principaux verbes irréguliers		21
brûler	to burn [burnt|burnt]	Conjugaison	Principaux verbes irréguliers		22
éclater	to burst [burst|burst]	Conjugaison	Principaux verbes irréguliers		23
acheter	to buy [bought|bought]	Conjugaison	Principaux verbes irréguliers		24
jeter	to cast [cast|cast]	Conjugaison	Principaux verbes irréguliers		25
attraper	to catch [caught|caught]	Conjugaison	Principaux verbes irréguliers		26
choisir	to choose [chose|chosen]	Conjugaison	Principaux verbes irréguliers		27
s'accrocher	to cling [clung|clung]	Conjugaison	Principaux verbes irréguliers		28
venir	to come [came|come]	Conjugaison	Principaux verbes irréguliers		29
coûter	to cost [cost|cost]	Conjugaison	Principaux verbes irréguliers		30
ramper	to creep [crept|crept]	Conjugaison	Principaux verbes irréguliers		31
couper	to cut [cut|cut]	Conjugaison	Principaux verbes irréguliers		32
distribuer	to deal [dealt|dealt]	Conjugaison	Principaux verbes irréguliers		33
creuser	to dig [dug|dug]	Conjugaison	Principaux verbes irréguliers		34
faire	to do [did|done]	Conjugaison	Principaux verbes irréguliers		35
dessiner, tirer	to draw [drew|drawn]	Conjugaison	Principaux verbes irréguliers		36
rêver	to dream [dreamt|dreamt]	Conjugaison	Principaux verbes irréguliers		37
boire	to drink [drank|drunk]	Conjugaison	Principaux verbes irréguliers		38
conduire	to drive [drove|driven]	Conjugaison	Principaux verbes irréguliers		39
résider	to dwell [dwelt|dwelt]	Conjugaison	Principaux verbes irréguliers		40
manger	to eat [ate|eaten]	Conjugaison	Principaux verbes irréguliers		41
tomber	to fall [fell|fallen]	Conjugaison	Principaux verbes irréguliers		42
nourrir	to feed [fed|fed]	Conjugaison	Principaux verbes irréguliers		43
ressentir	to fell [felt|felt]	Conjugaison	Principaux verbes irréguliers		44
combattre	to fight [fought|fought]	Conjugaison	Principaux verbes irréguliers		45
trouver	to find [found|found]	Conjugaison	Principaux verbes irréguliers		46
fuir	to flee [fled|fled]	Conjugaison	Principaux verbes irréguliers		47
lancer	to fling [flung|flung]	Conjugaison	Principaux verbes irréguliers		48
voler [avec des ailes]	to fly [flew|flown]	Conjugaison	Principaux verbes irréguliers		49
interdire	forbid [forbade|forbidden]	Conjugaison	Principaux verbes irréguliers		50
prévoir	to forecast [forecast|forecast]	Conjugaison	Principaux verbes irréguliers		51
abandonner	to forsake [forsook|forsaken]	Conjugaison	Principaux verbes irréguliers		52
geler	to freeze [froze|frozen]	Conjugaison	Principaux verbes irréguliers		53
obtenir	to get [got|got]	Conjugaison	Principaux verbes irréguliers		54
donner	to give [gave|given]	Conjugaison	Principaux verbes irréguliers		55
aller	to go [went|gone]	Conjugaison	Principaux verbes irréguliers		56
moudre	to grind [ground|ground]	Conjugaison	Principaux verbes irréguliers		57
pendre	to hang [hung|hung]	Conjugaison	Principaux verbes irréguliers		58
avoir	to have [had|had]	Conjugaison	Principaux verbes irréguliers		59
entendre	to hear [heard|heard]	Conjugaison	Principaux verbes irréguliers		60
cacher	to hide [hid|hidden]	Conjugaison	Principaux verbes irréguliers		61
frapper	to hit [hit|hit]	Conjugaison	Principaux verbes irréguliers		62
faire mal	to hurt [hurt|hurt]	Conjugaison	Principaux verbes irréguliers		63
garder	to keept [kept|kept]	Conjugaison	Principaux verbes irréguliers		64
s'agenouiller	to kneel [knelt|knelt]	Conjugaison	Principaux verbes irréguliers		65
savoir, connaître	to know [knew|known]	Conjugaison	Principaux verbes irréguliers		66
étendre, poser	to lay [laid|laid]	Conjugaison	Principaux verbes irréguliers		67
mener	to lead [led|led]	Conjugaison	Principaux verbes irréguliers		68
appuyer	to lean [leant|leant]	Conjugaison	Principaux verbes irréguliers		69
sauter	to leap [leapt|leapt]	Conjugaison	Principaux verbes irréguliers		70
apprendre	to learn [learnt|learnt]	Conjugaison	Principaux verbes irréguliers		71
quitter	to leave [left|left]	Conjugaison	Principaux verbes irréguliers		72
prêter	to lend [lent|lent]	Conjugaison	Principaux verbes irréguliers		73
laisser, louer	to let [let|let]	Conjugaison	Principaux verbes irréguliers		74
allumer	to light [lit|lit]	Conjugaison	Principaux verbes irréguliers		75
perdre	to lose [lost|lost]	Conjugaison	Principaux verbes irréguliers		76
vouloir dire	to mean [meant|meant]	Conjugaison	Principaux verbes irréguliers		77
rencontrer	to meet [met|met]	Conjugaison	Principaux verbes irréguliers		78
se méprendre	to mistake [mistook|mistaken]	Conjugaison	Principaux verbes irréguliers		79
surplomber	to overhang [overhung|overhung]	Conjugaison	Principaux verbes irréguliers		80
payer	to pay [paid|paid]	Conjugaison	Principaux verbes irréguliers		81
poser	to put [put|put]	Conjugaison	Principaux verbes irréguliers		82
lire	to read [read|read]	Conjugaison	Principaux verbes irréguliers		83
déchirer	to rend [rent|rent]	Conjugaison	Principaux verbes irréguliers		84
débarrasser	to rid [rid|rid]	Conjugaison	Principaux verbes irréguliers		85
aller à cheval, à bicyclette	to ride [rode|ridden]	Conjugaison	Principaux verbes irréguliers		86
sonner	to ring [rang|rung]	Conjugaison	Principaux verbes irréguliers		87
courir	to run [ran|run]	Conjugaison	Principaux verbes irréguliers		88
scier	to saw [sawed|sawn]	Conjugaison	Principaux verbes irréguliers		89
dire	to say [said|said]	Conjugaison	Principaux verbes irréguliers		90
voir	to see [saw|seen]	Conjugaison	Principaux verbes irréguliers		91
chercher	to seek [sought|sought]	Conjugaison	Principaux verbes irréguliers		92
